French Word,English Meaning
bonjour,hello
merci,thank you
oui,yes
non,no
s'il vous plaît,please
au revoir,goodbye
amour,love
ami,friend
famille,family
maison,house
chat,cat
chien,dog
eau,water
pain,bread
fromage,cheese
livre,book
école,school
travail,work
voiture,car
ville,city
soleil,sun
lune,moon
étoile,star
temps,time/weather
jour,day
nuit,night
homme,man
femme,woman
enfant,child
argent,money
porte,door
fenêtre,window
table,table
chaise,chair
ordinateur,computer
téléphone,phone
musique,music
film,movie
nourriture,food
boisson,drink
pomme,apple
banane,banana
orange,orange
rouge,red
bleu,blue
vert,green
jaune,yellow
blanc,white
noir,black
petit,small
grand,big
rapide,fast
lent,slow
heureux,happy
triste,sad
beau,beautiful
fort,strong
faible,weak
chaud,hot
froid,cold
nouveau,new
vieux,old
facile,easy
difficile,difficult
important,important
question,question
réponse,answer
vérité,truth
mensonge,lie
guerre,war
paix,peace
roi,king
reine,queen
pays,country
monde,world
mer,sea
montagne,mountain
rivière,river
forêt,forest
route,road
clé,key
papier,paper
stylo,pen
image,image
histoire,story/history
langue,language
nom,name
âge,age
main,hand
tête,head
œil,eye
cœur,heart
corps,body
esprit,mind
rêve,dream
espoir,hope
peur,fear
force,strength
bonheur,happiness
liberté,freedom
